token_id,tribe,age_group,scale_type,eyes,tail_type,body_markings,aura_effect,background,rarity_tier,lineage_hybridization
1,Obsidian Claw (Verdant Hybrid),Hatchling,Neon Circuit,Runic Red,Coral Fan,Solar Engraving,Solar Flare,Shadow Swamp,Uncommon,Verdant
2,Obsidian Claw,Hatchling,Volcanic Black,Runic Red,Standard Coil,Vine Spread,Shadow Drift,Volcanic Plains,Common,Pure
3,Obsidian Claw (Azure Hybrid),Hatchling,Golden Ember,Runic Red,Solar Plume,Lava Cracks,Neon Surge,Titan Ruins,Uncommon,Azure
4,Obsidian Claw,Hatchling,Titan Alloy,Runic Red,Titan Crest,Coral Pattern,Heatwave,Ancient Jungle,Common,Pure
5,Obsidian Claw,Hatchling,Titan Alloy,Data Circuit,Solar Plume,Runic Lines,Heatwave,Volcanic Plains,Common,Pure
6,Obsidian Claw (Verdant Hybrid),Hatchling,Golden Ember,Data Circuit,Titan Crest,Runic Lines,Tidal Reflection,Sun Dunes,Rare,Verdant
7,Obsidian Claw,Hatchling,Coral Gloss,Data Circuit,Coral Fan,Runic Lines,Tidal Reflection,Ancient Jungle,Common,Pure
8,Obsidian Claw (Shadow Hybrid),Hatchling,Coral Gloss,Runic Red,Standard Coil,Circuit Map,Neon Surge,Shadow Swamp,Uncommon,Shadow
9,Obsidian Claw,Hatchling,Volcanic Black,Ember,Crystal Hook,Solar Engraving,Crystal Bloom,Coral Reef,Common,Pure
10,Obsidian Claw (Azure Hybrid),Hatchling,Coral Gloss,Ember,Solar Plume,Solar Engraving,Mist Cloak,Coral Reef,Uncommon,Azure
11,Obsidian Claw,Hatchling,Crystal Embedded,Pearlescent,Standard Coil,Runic Lines,Heatwave,Ancient Jungle,Common,Pure
12,Obsidian Claw,Hatchling,Titan Alloy,Pearlescent,Crystal Hook,Solar Engraving,Shadow Drift,Titan Ruins,Common,Pure
13,Obsidian Claw (Titan Hybrid),Hatchling,Neon Circuit,Bioluminescent,Crystal Hook,Runic Lines,Mist Cloak,Ancient Jungle,Uncommon,Titan
14,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Solar Amber,Standard Coil,Circuit Map,Neon Surge,Volcanic Plains,Uncommon,Crystal
15,Obsidian Claw (Verdant Hybrid),Hatchling,Golden Ember,Solar Amber,Coral Fan,Lava Cracks,Solar Flare,Ancient Jungle,Rare,Verdant
16,Obsidian Claw (Sunscale Hybrid),Hatchling,Neon Circuit,Ember,Solar Plume,Coral Pattern,Crystal Bloom,Neon Abyss,Uncommon,Sunscale
17,Obsidian Claw,Hatchling,Neon Circuit,Runic Red,Standard Coil,Runic Lines,Shadow Drift,Titan Ruins,Common,Pure
18,Obsidian Claw (Sunscale Hybrid),Hatchling,Golden Ember,Runic Red,Coral Fan,Solar Engraving,Mist Cloak,Volcanic Plains,Uncommon,Sunscale
19,Obsidian Claw (Shadow Hybrid),Hatchling,Coral Gloss,Nocturne Blue,Titan Crest,Lava Cracks,Heatwave,Coral Reef,Legendary,Shadow
20,Obsidian Claw (Azure Hybrid),Hatchling,Crystal Embedded,Nocturne Blue,Titan Crest,Lava Cracks,Heatwave,Ancient Jungle,Rare,Azure
21,Obsidian Claw (Cyber Hybrid),Hatchling,Crystal Embedded,Data Circuit,Standard Coil,Shadow Veins,Heatwave,Neon Abyss,Uncommon,Cyber
22,Obsidian Claw (Sunscale Hybrid),Hatchling,Magma Veined,Pearlescent,Crystal Hook,Circuit Map,Heatwave,Coral Reef,Uncommon,Sunscale
23,Obsidian Claw (Sunscale Hybrid),Hatchling,Neon Circuit,Bioluminescent,Neon Stream,Solar Engraving,Tidal Reflection,Neon Abyss,Uncommon,Sunscale
24,Obsidian Claw (Sunscale Hybrid),Hatchling,Neon Circuit,Solar Amber,Solar Plume,Lava Cracks,Neon Surge,Volcanic Plains,Uncommon,Sunscale
25,Obsidian Claw (Crystal Hybrid),Hatchling,Titan Alloy,Runic Red,Neon Stream,Shadow Veins,Solar Flare,Titan Ruins,Uncommon,Crystal
